TF	DF	WORD
32	18	tshirt
32	17	x
32	17	hockey
31	31	ig
31	31	cleantech
31	31	optimist
31	31	flight
31	31	exist
31	31	massiv
31	31	jr
31	31	put
31	30	direct
31	30	autonomousvehicl
31	30	size
31	30	empow
31	30	ask
31	29	predict
31	29	swim
31	29	red
31	29	8
31	28	adult
31	26	pick
31	26	talent
31	26	vike
31	25	rock
31	25	energi
31	24	cook
31	24	psycholog
31	23	brain
31	22	gadget
31	19	microsoft
31	18	smallbiz
31	17	logo
30	30	cofound
30	30	institut
30	30	favorit
30	30	befor
30	30	wife
30	30	fair
30	29	creator
30	29	easi
30	29	jan
30	28	smart
30	28	fail
30	28	effect
30	27	west
30	26	interview
30	26	wed
30	25	accessori
30	25	present
30	25	apparel
30	23	cat
30	23	divers
30	23	minut
30	20	outdoor
29	29	million
29	29	aim
29	29	costa
29	29	step
29	29	north
29	29	everywher
29	29	number
29	29	followback
29	29	drive
29	28	30
29	28	firm
29	28	interact
29	28	40
29	28	page
29	28	ladi
29	28	level
29	27	park
29	27	enterpris
29	27	date
29	26	linkedin
29	26	pro
29	25	dad
29	25	supplement
29	25	actor
29	23	prevent
29	23	academi
29	21	dress
29	20	giveaway
29	19	diy
29	17	beer
29	15	hbcu
28	28	mission
28	28	someth
28	28	afford
28	28	friday
28	28	focus
28	27	point
28	27	matter
28	27	line
28	26	studio
28	26	origin
28	26	mine
28	26	museum
28	26	subscrib
28	25	autom
28	25	risk
28	24	oh
28	23	coupon
28	23	cancer
28	23	skill
28	23	democrat
28	23	woman
28	22	road
28	21	sleep
28	20	arrest
28	19	economi
28	19	wanderlust
28	19	dj
28	17	chicago
27	27	etc
27	27	confer
27	27	c
27	27	achiev
27	27	rica20032018websit
27	27	privado
27	27	plu
27	27	recent
27	27	short
27	26	master
27	26	hard
27	26	emerg
27	26	25
27	26	anyth
27	26	record
27	26	lose
27	25	press
27	25	languag
27	25	imag
27	24	item
27	24	storytel
27	23	racist
27	23	workshop
27	22	vegan
27	22	pain
27	22	water
27	22	nhl
27	21	iphon
27	20	promo
27	16	basket
27	15	mixtap
27	14	technew
26	26	gossip
26	26	11
26	26	five
26	26	spend
26	26	greatest
26	25	scientist
26	25	main
26	25	forward
26	25	sure
26	25	co
26	24	speak
26	24	discount
26	24	reason
26	24	control
26	24	mother
26	24	biz
26	24	babi
26	24	chief
26	24	campaign
26	24	act
26	23	phone
26	22	sky
26	22	download
26	22	fine
26	21	nonprofit
26	21	african
26	20	bar
26	19	u
26	18	toronto
26	18	poetri
26	17	keynot
26	13	nytim
25	25	strategist
25	25	announc
25	25	worth
25	25	born
25	25	past
25	25	uptod
25	25	oper
25	25	ill
25	25	progress
25	25	left
25	25	seek
25	24	freelanc
25	24	touch
25	24	pin
25	24	popular
25	24	morn
25	24	outlet
25	23	privat
25	23	graphic
25	23	actual
25	22	journalist
25	22	earli
25	22	dubai
25	21	festiv
25	21	construct
25	21	veteran
25	21	dolor
25	20	ident
25	19	smartphon
25	18	wellb
25	18	bike
25	17	selfi
25	17	pakistan
25	14	bot
25	13	wrestl
24	24	second
24	24	lo
24	24	reader
24	24	close
24	24	rang
24	24	dm
24	24	wish
24	24	suppli
24	23	insid
24	23	vs
24	23	weekli
24	23	soul
24	23	cosmet
24	23	appli
24	23	defens
24	22	ireland
24	22	virtual
24	22	friendli
24	21	b2b
24	21	super
24	21	abus
24	21	core
24	21	manufactur
24	21	btc
24	21	eth
24	20	recip
24	20	competit
24	20	programm
24	20	le
24	20	higher
24	20	societi
24	19	therapi
24	19	leather
24	18	realest
24	18	theater
24	18	diseas
24	16	race
24	16	onlineshop
24	15	itali
24	13	sketch
23	23	geotarget
23	23	educationteach
23	23	understand
23	23	boost
23	23	recommend
23	23	chanc
23	23	honor
23	23	tomorrow
23	23	staff
23	23	die
23	23	ex
23	23	destin
23	23	rise
23	23	quick
23	23	silver
23	22	heard
23	22	three
23	22	snooker
23	22	done
23	22	gain
23	22	modern
23	21	christian
23	21	bit
23	20	primari
23	20	nyc
23	19	awar
23	19	stem
23	19	choic
23	18	sponsor
23	18	safeti
23	18	machinelearn
23	18	ico
23	17	payment
23	17	china
23	17	stress
23	14	elearn
23	13	templat
23	12	iiot
22	22	wait
22	22	largest
22	22	bad
22	22	beat
22	22	role
22	22	within
22	22	marietta
22	22	anyon
22	22	away
22	22	classic
22	22	combin
22	22	stand
22	22	reduc
22	22	professor
22	22	resid
22	22	rank
22	22	abl
22	21	drink
22	21	might
22	21	addict
22	21	simpl
22	21	hear
22	21	journey
22	20	secret
22	20	cup
22	20	paper
22	20	respect
22	20	mark
22	20	celeb
22	20	televis
22	19	patient
22	19	ice
22	19	messag
22	18	restaur
22	17	martial
22	16	landscap
22	16	sme
22	16	familytravel
22	16	e
22	15	box
22	13	ear
22	12	crochet
22	11	thestreet
22	11	snow
21	21	tradit
21	21	fire
21	21	eye
21	21	2016
21	21	charg
21	21	senior
21	21	topic
21	21	enhanc
21	21	oriordan
21	21	cranberri
21	21	46
21	21	hashtag
21	21	limit
21	21	hub
21	21	wall
21	21	hit
21	21	safe
21	21	yet
21	21	seen
21	21	lost
21	20	maker
21	20	match
21	20	self
21	20	along
21	20	earn
21	20	compar
21	20	purpos
21	20	b
21	20	vote
21	20	isnt
21	20	field
21	20	john
21	20	technic
21	20	metal
21	20	hour
21	19	allow
21	19	employ
21	19	medicin
21	19	rule
21	19	mlb
21	18	excel
21	18	hospit
21	18	wealth
21	17	charact
21	17	vancouv
21	17	appl
21	17	tax
21	17	stock
21	17	patriot
21	16	insur
21	16	credit
21	15	camp
21	15	growthhack
21	14	elect
21	14	smallbusi
21	12	franc
20	20	royal
20	20	toward
20	20	canadian
20	20	ownticket
20	20	attack
20	20	1866
20	20	foundat
20	20	pictur
20	20	said
20	20	enabl
20	20	ye
20	20	process
20	20	pass
20	20	everyday
20	20	huge
20	20	forc
20	20	strateg
20	20	v
20	19	angel
20	19	son
20	19	st
20	19	nurs
20	19	track
20	19	venu
20	19	avid
20	18	fli
20	18	youll
20	18	bbc
20	18	manchest
20	18	nativ
20	18	ibm
20	17	british
20	17	garden
20	17	novel
20	17	death
20	17	altern
20	17	februari
20	17	ny
20	17	entrepreneurship
20	16	ride
20	16	fish
20	15	carillion
20	15	legal
20	15	iran
20	13	vlogger
20	12	backpack
20	6	indiegam
20	5	femalewrestl
19	19	fabul
19	19	varieti
19	19	room
19	19	ensur
19	19	fee
19	19	ifb
19	19	four
19	19	hold
19	19	affair
19	19	advanc
19	19	biggest
19	19	n
19	19	advisor
19	19	9
19	18	region
19	18	magic
19	18	est
19	18	cost
19	18	form
19	18	rate
19	18	devic
19	18	doesnt
19	18	leav
19	18	metoo
19	18	episod
19	18	noth
19	18	east
19	18	war
19	18	movement
19	18	spot
19	17	wsj
19	17	mix
19	17	shape
19	17	realiti
19	17	chair
19	16	faith
19	15	medit
19	15	drama
19	14	airlin
19	13	disrupt
19	12	portrait
19	12	pet
19	12	bird
19	12	pizza
19	10	leisur
19	9	domain
18	18	island
18	18	ultim
18	18	equip
18	18	planet
18	18	guardian
18	18	awardwin
18	18	80
18	18	democraci
18	18	newspap
18	18	applic
18	18	central
18	18	ahead
18	18	possibl
18	18	receiv
18	18	commit
18	18	except
18	17	degre
18	17	asian
18	17	gamer
18	17	un
18	16	l
18	16	joy
18	16	basic
18	16	academ
18	16	target
18	16	icon
18	16	extrem
18	15	spiritu
18	15	maga
18	15	cold
18	15	administr
18	15	rich
18	15	summer
18	14	liber
18	13	urban
18	13	artificialintellig
18	13	tcot
18	13	agent
18	13	electron
18	12	ml
18	12	datasci
18	9	hiphopmus
18	8	vlog
17	17	poet
17	17	pic
17	17	repres
17	17	invit
17	17	huffpost
17	17	term
17	17	ago
17	17	th
17	17	climat
17	17	consid
17	17	council
17	17	kind
17	17	among
17	17	lectur
17	17	approach
17	17	attend
17	17	scotland
17	17	commiss
17	17	experienc
17	17	earth
17	17	user
17	17	dure
17	16	strength
17	16	mainstream
17	16	tag
17	16	cut
17	16	graduat
17	16	goe
17	16	crypto
17	16	glass
17	16	fresh
17	16	dead
17	16	shot
17	16	legaci
17	16	weve
17	16	philosophi
17	16	street
17	16	singl
17	15	heal
17	15	exhibit
17	15	vision
17	15	fake
17	15	classroom
17	15	california
17	15	express
17	14	volunt
17	14	r
17	14	river
17	14	math
17	14	wow
17	14	guitar
17	14	toy
17	14	camera
17	14	indian
17	12	ce
17	12	necklac
17	12	mum
17	12	seattl
17	11	nh
17	11	ces2018
17	11	digitaltransform
17	10	samsung
17	10	giftidea
17	10	cannabi
17	8	newyork
16	16	stoke
16	16	hidden
16	16	moment
16	16	sometim
16	16	deep
16	16	f
16	16	survey
16	16	whole
16	16	affect
16	16	brought
16	16	mall
16	16	extra
16	16	prize
16	16	saturday
16	16	sunday
16	16	depart
16	16	horror
16	16	worker
16	16	far
16	16	fill
16	16	2nd
16	16	particip
16	15	mistak
16	15	fear
16	15	per
16	15	viaj
16	15	dot
16	15	incom
16	15	broadcast
16	15	et
16	15	relationship
16	15	finish
16	15	add
16	15	attract
16	15	ltc
16	15	dc
16	15	premium
16	14	paul
16	14	profit
16	14	commerci
16	14	screen
16	14	employe
16	14	indi
16	14	sterl
16	13	deeplearn
16	13	scifi
16	13	led
16	13	cash
16	13	lie
16	13	relax
16	13	jazz
16	13	ethic
16	13	feder
16	12	donat
16	12	bead
16	12	legend
16	11	transit
16	11	boot
16	10	internetofth
16	10	casino
16	10	bargain
16	10	caribbean
16	9	frizemedia
16	9	turkey
16	9	getwok
16	8	bmx
15	15	guarante
15	15	expos
15	15	often
15	15	rememb
15	15	variou
15	15	coast
15	15	crazi
15	15	common
15	15	sea
15	15	specialis
